phi1,phib,a,b,A1,A2,theta,status
39,118,7.8,6,2,-6,28,NotYet
39,118,7.8,6,2,-6,27.5,NotYet
39,118,7.8,6,2,-6,27,NotYet
39,118,7.8,6,2,-6,26.5,NotYet
39,118,7.8,6,2,-6,26,NotYet
39,117,7.8,6,2,-6,26,NotYet
39,117,7.8,6,2,-6,26.5,NotYet
39,119,7.8,6,2,-6,28,NotYet
39,119,7.8,6,2,-6,27.5,NotYet
39,119,7.8,6,2,-6,27,NotYet
39,119,7.8,6,2,-6,26.5,NotYet
39,119,7.8,6,2,-6,26,NotYet
