a,b,theta,phi1,phi2,E,E_p1,E_p2,E_t1,E_t2,E_t3,E_t4,E_m1,E_m2,machine_type,status,file_name,R3,R4
7.8,5.8,26.5,0,1,-42.11934165694569,-9.189099562,-9.222188164945694,-14.15601692,-14.34116374,-12.38896758,-12.433997699999999,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,0,0,-42.022849444354385,-9.189099562,-9.189099562354388,-14.29258192,-14.38263588,-12.24193571,-12.34836141,14.8104323,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=0_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,0,1,-42.37814560601488,-9.356933387,-9.36771400901489,-14.11337134,-14.31482715,-12.39576351,-12.44162822,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,0,-1,-41.888411696295016,-9.189099562,-9.15344444429502,-14.40230832,-14.42108969,-12.09455871,-12.25823842,14.8104323,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-1_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,6.0,26.5,0,1,-42.127882071357575,-9.317237105,-9.31108750635758,-14.04592029,-14.26220416,-12.37840659,-12.42511843,14.8104323,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=1_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,0,0,-42.31351835422922,-9.356933387,-9.35693338722922,-14.25683895,-14.35764843,-12.24826729,-12.35776151,14.8104323,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=0_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,0,-1,-42.21552010739509,-9.356933387,-9.34364900039509,-14.37634195,-14.39792202,-12.101442500000001,-12.2695587,14.8104323,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-1_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,0,2,-42.08624050519674,-9.189099562,-9.251260703196749,-14.11836004,-14.34341023,-12.40629313,-12.38177004,14.8104323,14.7935209,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,0,2,-42.68293348139902,-9.356933387,-9.374955474399028,-14.08527771,-14.37389466,-12.56002053,-12.53580492,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,6.0,26.5,0,0,-42.08935922952206,-9.317237105,-9.317237104522064,-14.1956128,-14.30601691,-12.23106724,-12.34305267,14.8104323,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=0_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
