a,b,theta,A1,A2,phi1,phi2,status
7.8,6.3,28.5,2,-6,41,38,NotYet
7.8,6.3,28.5,2,-6,40,39,NotYet
7.8,6.3,28.5,2,-6,39,40,NotYet
7.8,6.3,28.5,2,-6,38,41,NotYet
7.8,6.3,28.5,2,-6,40,38,NotYet
7.8,6.3,28.5,2,-6,38,40,NotYet
7.8,6.3,28.5,2,-6,40,37,NotYet
7.8,6.3,28.5,2,-6,39,38,NotYet
7.8,6.3,28.5,2,-6,38,39,NotYet
7.8,6.3,28.5,2,-6,37,40,NotYet
