a,b,theta,status
3.0,12.5,20.0,NotYet
3.0,13.0,20.0,NotYet
3.0,13.5,20.0,NotYet
4.0,13.5,25.0,NotYet
3.0,14.0,20.0,NotYet
3.5,14.0,20.0,NotYet
4.0,14.0,20.0,NotYet
6.0,6.0,15.0,NotYet
6.0,6.5,70.0,NotYet
6.0,7.0,65.0,NotYet
6.5,6.0,20.0,NotYet
7.0,6.0,25.0,NotYet
4.5,12.5,30.0,NotYet
4.5,13.0,25.0,NotYet
4.5,13.5,25.0,NotYet
3.0,12.0,20.0,NotYet
4.5,12.0,30.0,NotYet
8.0,7.5,25.0,NotYet
5.5,9.5,55.0,NotYet
6.5,9.5,55.0,NotYet
5.5,10.0,45.0,NotYet
6.0,10.0,50.0,NotYet
6.5,10.0,50.0,NotYet
8.5,7.0,30.0,NotYet
7.0,5.5,25.0,NotYet
7.5,5.5,30.0,NotYet
7.0,8.5,60.0,NotYet
7.0,9.0,55.0,NotYet
7.0,9.5,50.0,NotYet
3.0,11.5,25.0,NotYet
3.5,11.5,30.0,NotYet
4.5,11.5,30.0,NotYet
7.5,8.0,65.0,NotYet
7.5,8.5,55.0,NotYet
3.5,11.0,30.0,NotYet
8.0,5.0,35.0,NotYet
8.5,5.0,35.0,NotYet
9.0,6.0,30.0,NotYet
9.5,6.0,35.0,NotYet
3.5,10.5,30.0,NotYet
4.0,10.5,40.0,NotYet
7.5,5.0,30.0,NotYet
9.0,6.5,30.0,NotYet
9.0,4.5,40.0,NotYet
9.5,4.5,40.0,NotYet
10.0,5.5,40.0,NotYet
10.5,5.5,40.0,NotYet
4.0,10.0,40.0,NotYet
5.0,10.5,45.0,NotYet
5.0,11.0,40.0,NotYet
5.0,11.5,35.0,NotYet
10.0,6.0,40.0,NotYet
8.5,4.5,40.0,NotYet
4.0,9.5,40.0,NotYet
9.0,7.0,35.0,NotYet
10.0,4.0,45.0,NotYet
10.5,4.0,50.0,NotYet
11.0,4.0,50.0,NotYet
11.5,4.0,50.0,NotYet
11.5,5.0,45.0,NotYet
11.0,5.5,45.0,NotYet
11.5,5.5,45.0,NotYet
8.5,7.5,30.0,NotYet
5.5,10.5,45.0,NotYet
4.0,9.0,45.0,NotYet
4.5,9.0,50.0,NotYet
9.5,4.0,45.0,NotYet
12.0,4.5,50.0,NotYet
12.0,5.0,50.0,NotYet
4.5,8.5,50.0,NotYet
8.0,8.0,50.0,NotYet
5.0,8.0,55.0,NotYet
4.5,8.0,55.0,NotYet
11.5,3.5,55.0,NotYet
12.0,3.5,60.0,NotYet
12.5,3.5,60.0,NotYet
12.5,4.5,60.0,NotYet
13.0,4.5,60.0,NotYet
5.0,7.5,60.0,NotYet
5.5,7.0,65.0,NotYet
13.5,4.5,60.0,NotYet
5.0,7.0,60.0,NotYet
12.5,3.0,65.0,NotYet
13.0,3.0,70.0,NotYet
13.5,3.0,70.0,NotYet
14.0,3.0,70.0,NotYet
14.0,4.0,65.0,NotYet
14.0,4.5,65.0,NotYet
14.5,3.0,70.0,NotYet
14.5,3.5,70.0,NotYet
14.5,4.0,70.0,NotYet
