a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.9,13.3,10.0,-29.93306786,-8.909945464,-3.028294234,2,Done,BTBT_theta=10.0_a=3.9_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.9,10.0,-34.1616695,-1.856601286,-7.612116732,2,Done,BTBT_theta=10.0_a=6.9_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13.4,10.0,-29.79591928,-8.909945464,-2.994007088,2,Done,BTBT_theta=10.0_a=3.9_b=13.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,7.0,10.0,-31.10131578,-0.439715082,-7.555471404,2,Done,BTBT_theta=10.0_a=6.9_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,10.0,-30.03586655,-9.007429142,-3.005252066,2,Done,BTBT_theta=10.0_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,7.1,10.0,-30.86848447,-0.439715082,-7.497263576,2,Done,BTBT_theta=10.0_a=6.9_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13.1,10.0,-30.08467428,-8.909945464,-3.066195838,2,Done,BTBT_theta=10.0_a=3.9_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.0,6.9,10.0,-34.34944559,-1.856601286,-7.659060755,2,Done,BTBT_theta=10.0_a=7.0_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,13.1,10.0,-29.63398405,-8.582705274,-3.117143375,2,Done,BTBT_theta=10.0_a=4.0_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.9,10.0,-34.29738736,-1.856601286,-7.646046198,2,Done,BTBT_theta=10.0_a=7.1_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,13.2,10.0,-29.53589168,-8.582705274,-3.092620284,2,Done,BTBT_theta=10.0_a=4.0_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,13.3,10.0,-29.3989188,-8.582705274,-3.058377063,2,Done,BTBT_theta=10.0_a=4.0_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,10.0,-29.98624306,-9.007429142,-2.992846194,2,Done,BTBT_theta=10.0_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13.0,10.0,-30.08946846,-8.909945464,-3.067394382,2,Done,BTBT_theta=10.0_a=3.9_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,13.0,10.0,-29.68862762,-8.582705274,-3.130804267,2,Done,BTBT_theta=10.0_a=4.0_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
