a,b,theta,status
4.5,14.0,25.0,NotYet
3.0,14.5,15.0,NotYet
3.5,14.5,20.0,NotYet
4.0,14.5,25.0,NotYet
4.5,14.5,25.0,NotYet
5.0,12.5,35.0,NotYet
5.0,13.0,35.0,NotYet
5.0,13.5,30.0,NotYet
5.0,14.0,30.0,NotYet
5.0,12.0,35.0,NotYet
8.5,8.0,40.0,NotYet
7.0,10.0,45.0,NotYet
6.0,10.5,50.0,NotYet
6.5,10.5,50.0,NotYet
7.0,10.5,40.0,NotYet
9.0,7.5,35.0,NotYet
7.5,9.0,50.0,NotYet
7.5,9.5,45.0,NotYet
7.5,10.0,40.0,NotYet
8.0,8.5,45.0,NotYet
8.0,9.0,45.0,NotYet
9.5,6.5,35.0,NotYet
10.0,6.5,35.0,NotYet
9.5,7.0,35.0,NotYet
10.5,6.0,40.0,NotYet
11.0,6.0,40.0,NotYet
5.5,11.0,45.0,NotYet
5.5,11.5,40.0,NotYet
5.5,12.0,40.0,NotYet
10.5,6.5,40.0,NotYet
9.5,7.5,40.0,NotYet
12.0,5.5,45.0,NotYet
11.5,6.0,40.0,NotYet
12.0,6.0,45.0,NotYet
9.0,8.0,45.0,NotYet
6.0,11.0,45.0,NotYet
12.5,5.0,50.0,NotYet
12.5,5.5,50.0,NotYet
8.5,8.5,45.0,NotYet
13.0,5.0,55.0,NotYet
13.5,5.0,55.0,NotYet
14.0,5.0,55.0,NotYet
14.5,4.5,65.0,NotYet
14.5,5.0,55.0,NotYet
15.0,3.0,75.0,NotYet
15.0,3.5,70.0,NotYet
15.0,4.0,65.0,NotYet
15.0,4.5,65.0,NotYet
