a,b,theta,E,E_p1,E_t,machine_type,status,file_name
3.9,12.4,15,-61.09083445,-14.62459746,-7.960409882,2,Done,hexacene_theta=15_a=3.9_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.5,15,-60.39595497,-14.62459746,-7.786690013,2,Done,hexacene_theta=15_a=3.9_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.2,15,-62.07753117,-14.62459746,-8.207084063,2,Done,hexacene_theta=15_a=3.9_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.1,15,-62.3178926,-14.62459746,-8.267174421,2,Done,hexacene_theta=15_a=3.9_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12,15,-62.35275706,-14.62459746,-8.275890535,2,Done,hexacene_theta=15_a=3.9_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.8,15,-74.60684763,-6.638603993,-15.33240991,1,Done,hexacene_theta=15_a=6.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,15,-73.52892351,-6.316032477,-15.22421464,1,Done,hexacene_theta=15_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7,15,-72.23710631,-5.899365837,-15.10959366,1,Done,hexacene_theta=15_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.7,15,-75.36510563,-6.817707897,-15.43242246,1,Done,hexacene_theta=15_a=6.5_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.6,15,-75.65191532,-6.781895901,-15.52203088,1,Done,hexacene_theta=15_a=6.5_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.5,15,-75.22935012,-6.417764398,-15.59845533,1,Done,hexacene_theta=15_a=6.5_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,15,-73.68768355,-6.316032477,-15.26390465,1,Done,hexacene_theta=15_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.8,15,-74.87313779,-6.638603993,-15.39898245,1,Done,hexacene_theta=15_a=6.6_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7,15,-72.29415951,-5.899365837,-15.12385696,1,Done,hexacene_theta=15_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.7,15,-75.74660659,-6.817707897,-15.5277977,1,Done,hexacene_theta=15_a=6.6_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.6,15,-76.158592,-6.781895901,-15.64870005,1,Done,hexacene_theta=15_a=6.6_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.5,15,-75.87410408,-6.417764398,-15.75964382,1,Done,hexacene_theta=15_a=6.6_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.8,15,-74.59542695,-6.638603993,-15.32955474,1,Done,hexacene_theta=15_a=6.7_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.9,15,-73.33007815,-6.316032477,-15.1745033,1,Done,hexacene_theta=15_a=6.7_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7,15,-71.86152903,-5.899365837,-15.01569934,1,Done,hexacene_theta=15_a=6.7_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.7,15,-75.55443795,-6.817707897,-15.47975554,1,Done,hexacene_theta=15_a=6.7_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.6,15,-76.05916932,-6.781895901,-15.62384438,1,Done,hexacene_theta=15_a=6.7_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.5,15,-75.87689024,-6.417764398,-15.76034036,1,Done,hexacene_theta=15_a=6.7_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.2,20,-64.65066102,-16.75324315,-7.786043679,2,Done,hexacene_theta=20_a=3.7_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.3,20,-64.33730762,-16.75324315,-7.70770533,2,Done,hexacene_theta=20_a=3.7_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.4,20,-63.84835183,-16.75324315,-7.585466382,2,Done,hexacene_theta=20_a=3.7_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.1,20,-64.75831663,-16.75324315,-7.812957582,2,Done,hexacene_theta=20_a=3.7_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12,20,-64.62883623,-16.75323688,-7.780590617,2,Done,hexacene_theta=20_a=3.7_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,11.9,20,-64.23007871,-16.75324315,-7.680898103,2,Done,hexacene_theta=20_a=3.7_b=11.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.3,20,-64.51254606,-16.56833478,-7.843969126,2,Done,hexacene_theta=20_a=3.8_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.2,20,-65.01344965,-16.56833478,-7.969195022,2,Done,hexacene_theta=20_a=3.8_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.4,20,-63.86284731,-16.56833478,-7.681544438,2,Done,hexacene_theta=20_a=3.8_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.1,20,-65.33714441,-16.56833478,-8.050118712,2,Done,hexacene_theta=20_a=3.8_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12,20,-65.45381107,-16.56833478,-8.079285377,2,Done,hexacene_theta=20_a=3.8_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,11.9,20,-65.33425786,-16.56833478,-8.049397075,2,Done,hexacene_theta=20_a=3.8_b=11.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.2,20,-64.3006485,-15.94548091,-8.10242167,2,Done,hexacene_theta=20_a=3.9_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.3,20,-63.6356385,-15.94548091,-7.936169171,2,Done,hexacene_theta=20_a=3.9_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.4,20,-62.84766165,-15.94548091,-7.739174957,2,Done,hexacene_theta=20_a=3.9_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.1,20,-64.81575891,-15.94548091,-8.231199272,2,Done,hexacene_theta=20_a=3.9_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12,20,-65.15325889,-15.94548091,-8.315574267,2,Done,hexacene_theta=20_a=3.9_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.9,20,-65.28491048,-15.94548091,-8.348487166,2,Done,hexacene_theta=20_a=3.9_b=11.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.4,20,-83.03843595,-9.267099055,-16.12605946,1,Done,hexacene_theta=20_a=6.6_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.5,20,-82.07676433,-8.852139243,-16.09312146,1,Done,hexacene_theta=20_a=6.6_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.6,20,-80.72804452,-8.31358506,-16.0252186,1,Done,hexacene_theta=20_a=6.6_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.5,20,-82.92267293,-8.852139243,-16.30459861,2,Done,hexacene_theta=20_a=6.7_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.4,20,-84.10055939,-9.267099055,-16.39159032,1,Done,hexacene_theta=20_a=6.7_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.6,20,-81.38524832,-8.31358506,-16.18951955,1,Done,hexacene_theta=20_a=6.7_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.3,20,-84.71638513,-9.470167567,-16.4440125,1,Done,hexacene_theta=20_a=6.7_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.2,20,-84.50195244,-9.341603318,-16.45468645,1,Done,hexacene_theta=20_a=6.7_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.1,20,-83.12096605,-8.728582524,-16.41595025,1,Done,hexacene_theta=20_a=6.7_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.4,20,-84.38979127,-9.267099055,-16.46389829,1,Done,hexacene_theta=20_a=6.8_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.5,20,-83.04596609,-8.852139243,-16.3354219,1,Done,hexacene_theta=20_a=6.8_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.6,20,-81.36594608,-8.31358506,-16.18469399,1,Done,hexacene_theta=20_a=6.8_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.3,20,-85.19901561,-9.470167567,-16.56467012,1,Done,hexacene_theta=20_a=6.8_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.2,20,-85.2097084,-9.341603318,-16.63162544,1,Done,hexacene_theta=20_a=6.8_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.1,20,-84.08981641,-8.728582524,-16.65816284,1,Done,hexacene_theta=20_a=6.8_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.3,20,-85.03003973,-9.470167567,-16.52242615,1,Done,hexacene_theta=20_a=6.9_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.4,20,-84.07417887,-9.267099055,-16.38499519,1,Done,hexacene_theta=20_a=6.9_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.5,20,-82.60675929,-8.852139243,-16.2256202,1,Done,hexacene_theta=20_a=6.9_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.2,20,-85.21430176,-9.341603318,-16.63277378,1,Done,hexacene_theta=20_a=6.9_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.1,20,-84.29885253,-8.728582524,-16.71042187,1,Done,hexacene_theta=20_a=6.9_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6,25,-89.05766248,-11.52680022,-16.50101551,1,Done,hexacene_theta=25_a=7.1_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,5.9,25,-89.19645512,-11.69125176,-16.4534879,1,Done,hexacene_theta=25_a=7.2_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6,25,-89.18140744,-11.52680022,-16.53195175,1,Done,hexacene_theta=25_a=7.2_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,5.9,25,-88.7482624,-11.69125176,-16.34143972,1,Done,hexacene_theta=25_a=7.1_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,5.9,25,-89.05983364,-11.69125176,-16.41933253,1,Done,hexacene_theta=25_a=7.3_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.1,25,-88.5226098,-11.08953242,-16.58588624,1,Done,hexacene_theta=25_a=7.1_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6,25,-88.27545872,-11.52680022,-16.30546457,1,Done,hexacene_theta=25_a=7.0_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6,25,-88.7769898,-11.52680022,-16.43084734,1,Done,hexacene_theta=25_a=7.3_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.1,25,-88.07936184,-11.08953242,-16.47507425,1,Done,hexacene_theta=25_a=7.0_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.1,25,-88.36558168,-11.08953242,-16.54662921,1,Done,hexacene_theta=25_a=7.2_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,5.9,25,-88.4545626,-11.69125176,-16.26801477,1,Done,hexacene_theta=25_a=7.4_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,5.8,25,-88.26718814,-11.43988381,-16.34685513,1,Done,hexacene_theta=25_a=7.3_b=5.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,5.8,25,-88.09374438,-11.43988381,-16.30349419,1,Done,hexacene_theta=25_a=7.2_b=5.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,5.9,25,-87.5805918,-11.69125176,-16.04952207,1,Done,hexacene_theta=25_a=7.0_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6,25,-87.9556294,-11.52680022,-16.22550724,1,Done,hexacene_theta=25_a=7.4_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,5.8,25,-87.91683674,-11.43988381,-16.25926728,1,Done,hexacene_theta=25_a=7.4_b=5.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.1,25,-87.733654,-11.08953242,-16.38864729,1,Done,hexacene_theta=25_a=7.3_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,5.8,25,-87.27557174,-11.43988381,-16.09895103,1,Done,hexacene_theta=25_a=7.1_b=5.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,5.9,25,-87.47956268,-11.69125176,-16.02426479,1,Done,hexacene_theta=25_a=7.5_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.1,25,-86.73242416,-11.08953242,-16.13833983,1,Done,hexacene_theta=25_a=7.4_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6,25,-86.81049896,-11.52680022,-15.93922463,1,Done,hexacene_theta=25_a=7.5_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.1,25,-85.44919132,-11.08953242,-15.81753162,1,Done,hexacene_theta=25_a=7.5_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.7,25,-67.56698866,-16.86783276,-8.457830784,2,Done,hexacene_theta=25_a=3.9_b=11.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.6,25,-67.45423766,-16.86783276,-8.429643035,2,Done,hexacene_theta=25_a=3.9_b=11.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.8,25,-67.42989027,-16.86783276,-8.423556188,2,Done,hexacene_theta=25_a=3.9_b=11.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.6,25,-67.18458406,-16.16951453,-8.71138875,2,Done,hexacene_theta=25_a=4.0_b=11.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,11.8,25,-67.17751828,-17.17919694,-8.204781101,2,Done,hexacene_theta=25_a=3.8_b=11.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,11.7,25,-67.06792994,-17.17919694,-8.177384015,2,Done,hexacene_theta=25_a=3.8_b=11.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.7,25,-67.04582905,-16.16951453,-8.676699997,2,Done,hexacene_theta=25_a=4.0_b=11.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.9,25,-67.07256098,-16.86783276,-8.334223864,1,Done,hexacene_theta=25_a=3.9_b=11.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,11.9,25,-67.03698114,-17.17919694,-8.169646816,1,Done,hexacene_theta=25_a=3.8_b=11.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,11.6,25,-66.67739282,-17.17919694,-8.079749734,2,Done,hexacene_theta=25_a=3.8_b=11.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.8,25,-66.68719453,-16.16951453,-8.587041368,2,Done,hexacene_theta=25_a=4.0_b=11.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12,25,-66.67714181,-17.17919694,-8.079686983,1,Done,hexacene_theta=25_a=3.8_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12,25,-66.52482005,-16.86783276,-8.197288632,1,Done,hexacene_theta=25_a=3.9_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.9,25,-66.13739537,-16.16951453,-8.449591578,1,Done,hexacene_theta=25_a=4.0_b=11.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.1,25,-66.12904948,-17.17919694,-7.942663899,1,Done,hexacene_theta=25_a=3.8_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.1,25,-65.81713937,-16.86783276,-8.020368463,1,Done,hexacene_theta=25_a=3.9_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,12,25,-65.42584923,-16.16951453,-8.271705043,1,Done,hexacene_theta=25_a=4.0_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,12.1,25,-64.58209928,-16.16951453,-8.060767556,2,Done,hexacene_theta=25_a=4.0_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.6,30,-67.13891388,-16.51245502,-8.52850096,1,Done,hexacene_theta=30_a=3.9_b=11.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.7,30,-66.63906452,-16.51245502,-8.403538619,1,Done,hexacene_theta=30_a=3.9_b=11.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.8,30,-65.95522922,-16.51245502,-8.232579794,1,Done,hexacene_theta=30_a=3.9_b=11.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.5,30,-67.42079137,-16.51245502,-8.598970333,2,Done,hexacene_theta=30_a=3.9_b=11.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.4,30,-67.45186567,-16.51245502,-8.606738907,2,Done,hexacene_theta=30_a=3.9_b=11.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.3,30,-67.20018396,-16.51245502,-8.543818479,2,Done,hexacene_theta=30_a=3.9_b=11.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,11.2,30,-66.63406954,-16.51245502,-8.402289874,2,Done,hexacene_theta=30_a=3.9_b=11.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.7,30,-66.95084912,-16.50749141,-8.483966575,1,Done,hexacene_theta=30_a=4.0_b=11.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.6,30,-67.62246052,-16.50749141,-8.651869426,1,Done,hexacene_theta=30_a=4.0_b=11.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.8,30,-66.12502086,-16.50749141,-8.27750951,1,Done,hexacene_theta=30_a=4.0_b=11.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.5,30,-68.10632094,-16.50749141,-8.772834529,2,Done,hexacene_theta=30_a=4.0_b=11.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.4,30,-68.36985004,-16.50749141,-8.838716804,2,Done,hexacene_theta=30_a=4.0_b=11.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.3,30,-68.38144642,-16.50749141,-8.8416159,2,Done,hexacene_theta=30_a=4.0_b=11.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,11.2,30,-68.1101111,-16.50749141,-8.773782069,2,Done,hexacene_theta=30_a=4.0_b=11.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.6,30,-66.96633608,-16.02081976,-8.73117414,1,Done,hexacene_theta=30_a=4.1_b=11.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.7,30,-66.14798774,-16.02081976,-8.526587055,1,Done,hexacene_theta=30_a=4.1_b=11.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.8,30,-65.2040872,-16.02081976,-8.290611919,1,Done,hexacene_theta=30_a=4.1_b=11.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.5,30,-67.62692841,-16.02081976,-8.896322222,2,Done,hexacene_theta=30_a=4.1_b=11.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.4,30,-68.0974605,-16.02081976,-9.013955246,2,Done,hexacene_theta=30_a=4.1_b=11.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.3,30,-68.34668238,-16.02081976,-9.076260714,2,Done,hexacene_theta=30_a=4.1_b=11.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.1,11.2,30,-68.34412214,-16.02081976,-9.075620654,2,Done,hexacene_theta=30_a=4.1_b=11.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.7,30,-75.66961113,-6.056619843,-15.88909286,2,Done,hexacene_theta=30_a=6.9_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.8,30,-74.77626277,-5.540342266,-15.92389456,1,Done,hexacene_theta=30_a=6.9_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.9,30,-73.71928495,-5.067287577,-15.89617745,1,Done,hexacene_theta=30_a=6.9_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.6,30,-76.35020848,-6.615643402,-15.77973042,1,Done,hexacene_theta=30_a=6.9_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.8,30,-75.33836113,-5.540342266,-16.06441915,1,Done,hexacene_theta=30_a=7.0_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.7,30,-76.52355185,-6.056619843,-16.10257804,1,Done,hexacene_theta=30_a=7.0_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.9,30,-74.02829595,-5.067287577,-15.9734302,1,Done,hexacene_theta=30_a=7.0_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.6,30,-77.53778368,-6.615643402,-16.07662422,1,Done,hexacene_theta=30_a=7.0_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.5,30,-78.33293928,-7.216772881,-15.97484838,1,Done,hexacene_theta=30_a=7.0_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7,6.4,30,-78.85557981,-7.857058985,-15.78536546,1,Done,hexacene_theta=30_a=7.0_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.7,30,-76.72960101,-6.056619843,-16.15409033,1,Done,hexacene_theta=30_a=7.1_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.8,30,-75.30829085,-5.540342266,-16.05690158,1,Done,hexacene_theta=30_a=7.1_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.9,30,-73.79777387,-5.067287577,-15.91579968,1,Done,hexacene_theta=30_a=7.1_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.6,30,-78.01943528,-6.615643402,-16.19703712,1,Done,hexacene_theta=30_a=7.1_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.5,30,-79.132638,-7.216772881,-16.17477306,1,Done,hexacene_theta=30_a=7.1_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.4,30,-80.01818013,-7.857058985,-16.07601554,1,Done,hexacene_theta=30_a=7.1_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.1,6.3,30,-80.62225891,-8.532529574,-15.88929994,1,Done,hexacene_theta=30_a=7.1_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.5,30,-79.31017312,-7.216772881,-16.21915684,1,Done,hexacene_theta=30_a=7.2_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.6,30,-77.93364208,-6.615643402,-16.17558882,1,Done,hexacene_theta=30_a=7.2_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.7,30,-76.42043937,-6.056619843,-16.07679992,1,Done,hexacene_theta=30_a=7.2_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.4,30,-80.50183973,-7.857058985,-16.19693044,1,Done,hexacene_theta=30_a=7.2_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.3,30,-81.45744959,-8.532529574,-16.09809761,1,Done,hexacene_theta=30_a=7.2_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.2,30,-82.12642548,-9.239582742,-15.911815,1,Done,hexacene_theta=30_a=7.2_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.2,6.1,30,-82.44306702,-9.966640928,-15.62744629,2,Done,hexacene_theta=30_a=7.2_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.3,30,-81.68872471,-8.532529574,-16.15591639,1,Done,hexacene_theta=30_a=7.3_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.4,30,-80.43592609,-7.857058985,-16.18045203,1,Done,hexacene_theta=30_a=7.3_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.5,30,-78.99029364,-7.216772881,-16.13918697,1,Done,hexacene_theta=30_a=7.3_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.2,30,-82.70064732,-9.239582742,-16.05537046,1,Done,hexacene_theta=30_a=7.3_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6.1,30,-83.4079013,-9.966640928,-15.86865486,2,Done,hexacene_theta=30_a=7.3_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.3,6,30,-83.73787114,-10.69721317,-15.5858612,2,Done,hexacene_theta=30_a=7.3_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.2,30,-82.73365432,-9.239582742,-16.06362221,1,Done,hexacene_theta=30_a=7.4_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.3,30,-81.43147071,-8.532529574,-16.09160289,1,Done,hexacene_theta=30_a=7.4_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.4,30,-79.93170925,-7.857058985,-16.05439782,1,Done,hexacene_theta=30_a=7.4_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6.1,30,-83.77687718,-9.966640928,-15.96089883,2,Done,hexacene_theta=30_a=7.4_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,6,30,-84.49033094,-10.69721317,-15.77397615,2,Done,hexacene_theta=30_a=7.4_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,5.9,30,-84.79056936,-11.40782432,-15.49373018,2,Done,hexacene_theta=30_a=7.4_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.4,5.8,30,-84.55928174,-12.05647513,-15.11158287,2,Done,hexacene_theta=30_a=7.4_b=5.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6,30,-84.69763514,-10.69721317,-15.8258022,2,Done,hexacene_theta=30_a=7.5_b=6.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.1,30,-83.65463822,-9.966640928,-15.93033909,2,Done,hexacene_theta=30_a=7.5_b=6.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,6.2,30,-82.32705296,-9.239582742,-15.96197187,2,Done,hexacene_theta=30_a=7.5_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,5.9,30,-85.37432936,-11.40782432,-15.63967018,2,Done,hexacene_theta=30_a=7.5_b=5.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,5.8,30,-85.56746438,-12.05647513,-15.36362853,2,Done,hexacene_theta=30_a=7.5_b=5.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.5,5.7,30,-85.12259746,-12.58148137,-14.98990868,2,Done,hexacene_theta=30_a=7.5_b=5.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
