a,b,theta,E,E_p1,E_t,machine_type,status,file_name
3.7,12.6,5,-56.67553604,-13.25813796,-7.539815029,2,Done,hexacene_theta=5_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,5,-56.67519718,-12.66115632,-7.838221135,2,Done,hexacene_theta=5_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,5,-56.58527499,-13.14292712,-7.574855188,2,Done,hexacene_theta=5_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,5,-56.28309128,-13.25813796,-7.441703841,2,Done,hexacene_theta=5_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,5,-55.97444421,-12.66115632,-7.663032893,2,Done,hexacene_theta=5_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,5,-55.92387945,-13.14292712,-7.409506303,2,Done,hexacene_theta=5_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,5,-55.76373891,-13.25813796,-7.311865747,2,Done,hexacene_theta=5_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,5,-55.19148744,-12.66115632,-7.467293699,2,Done,hexacene_theta=5_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,5,-55.17782026,-13.14292712,-7.222991506,1,Done,hexacene_theta=5_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,5,-55.13946686,-13.25813796,-7.155797735,1,Done,hexacene_theta=5_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13,5,-54.42859843,-13.25813796,-6.978080628,1,Done,hexacene_theta=5_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13,5,-54.36250907,-13.14292712,-7.019163707,1,Done,hexacene_theta=5_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.9,5,-54.3417887,-12.66115632,-7.254869014,2,Done,hexacene_theta=5_a=3.9_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
