a,b,theta,A1,A2,phi1,status
7.7,6.3,28,2,-6,38,NotYet
7.7,6.3,27,2,-6,37,NotYet
7.7,6.3,27.5,2,-6,37,NotYet
7.7,6.3,26.5,2,-6,36,NotYet
7.7,6.3,26,2,-6,35,NotYet
7.7,6.3,25.5,2,-6,34,NotYet
7.7,6.3,25,2,-6,33,NotYet
