a,b,theta,status
7.7,6.3,25.5,NotYet
7.7,6.3,26.0,NotYet
7.8,6.2,26.5,NotYet
7.8,6.2,27.0,NotYet
7.8,6.2,27.5,NotYet
7.9,6.1,28.0,NotYet
7.9,6.1,28.5,NotYet
8.0,6.1,29.0,NotYet
8.0,6.1,29.5,NotYet
8.3,5.9,32.5,NotYet
12.7,4.2,57.5,NotYet
12.8,4.1,58.0,NotYet
12.9,4.1,58.5,NotYet
12.9,4.1,59.0,NotYet
13.0,4.1,59.5,NotYet
13.1,4.0,60.5,NotYet
13.2,4.0,61.0,NotYet
13.2,4.0,61.5,NotYet
13.2,4.0,62.0,NotYet
13.3,4.0,62.5,NotYet
3.9,12.3,25.5,NotYet
3.9,12.3,26.0,NotYet
4.0,12.2,26.5,NotYet
4.0,12.1,27.0,NotYet
4.0,12.1,27.5,NotYet
4.0,12.1,28.0,NotYet
4.0,12.0,28.5,NotYet
4.0,12.0,29.0,NotYet
4.1,11.8,29.5,NotYet
4.2,11.5,32.5,NotYet
5.9,8.2,57.5,NotYet
5.9,8.2,58.0,NotYet
5.9,8.2,58.5,NotYet
6.0,8.1,59.0,NotYet
6.0,8.1,59.5,NotYet
6.0,8.0,60.5,NotYet
6.1,7.9,61.0,NotYet
6.1,7.9,61.5,NotYet
6.1,7.9,62.0,NotYet
6.2,7.8,62.5,NotYet
7.7,6.3,25.5,NotYet
7.7,6.3,26.0,NotYet
7.8,6.2,26.5,NotYet
7.8,6.2,27.0,NotYet
7.8,6.2,27.5,NotYet
7.9,6.1,28.0,NotYet
