a,b,theta,status
3.0,11.0,30,NotYet
3.0,11.5,30,NotYet
3.0,12.0,30,NotYet
3.0,12.5,30,NotYet
3.0,13.0,30,NotYet
3.5,10.5,30,NotYet
3.5,11.0,30,NotYet
3.5,11.5,30,NotYet
3.5,12.0,30,NotYet
3.5,12.5,30,NotYet
3.5,13.0,30,NotYet
4.0,9.5,30,NotYet
4.0,10.0,30,NotYet
4.0,10.5,30,NotYet
4.0,11.0,30,NotYet
4.0,11.5,30,NotYet
4.0,12.0,30,NotYet
4.0,12.5,30,NotYet
4.0,13.0,30,NotYet
4.5,9.0,30,NotYet
4.5,9.5,30,NotYet
4.5,10.0,30,NotYet
4.5,10.5,30,NotYet
4.5,11.0,30,NotYet
4.5,11.5,30,NotYet
4.5,12.0,30,NotYet
4.5,12.5,30,NotYet
4.5,13.0,30,NotYet
5.0,8.0,30,NotYet
5.0,8.5,30,NotYet
5.0,9.0,30,NotYet
5.0,9.5,30,NotYet
5.0,10.0,30,NotYet
5.0,10.5,30,NotYet
5.0,11.0,30,NotYet
5.0,11.5,30,NotYet
5.0,12.0,30,NotYet
5.0,12.5,30,NotYet
5.0,13.0,30,NotYet
5.5,7.5,30,NotYet
5.5,8.0,30,NotYet
5.5,8.5,30,NotYet
5.5,9.0,30,NotYet
5.5,9.5,30,NotYet
5.5,10.0,30,NotYet
5.5,10.5,30,NotYet
5.5,11.0,30,NotYet
5.5,11.5,30,NotYet
5.5,12.0,30,NotYet
6.0,6.5,30,NotYet
6.0,7.0,30,NotYet
6.0,7.5,30,NotYet
6.0,8.0,30,NotYet
6.0,8.5,30,NotYet
6.0,9.0,30,NotYet
6.0,9.5,30,NotYet
6.0,10.0,30,NotYet
6.0,10.5,30,NotYet
6.0,11.0,30,NotYet
6.0,11.5,30,NotYet
6.5,6.0,30,NotYet
6.5,6.5,30,NotYet
6.5,7.0,30,NotYet
6.5,7.5,30,NotYet
6.5,8.0,30,NotYet
6.5,8.5,30,NotYet
6.5,9.0,30,NotYet
6.5,9.5,30,NotYet
6.5,10.0,30,NotYet
6.5,10.5,30,NotYet
7.0,5.0,30,NotYet
7.0,5.5,30,NotYet
7.0,6.0,30,NotYet
7.0,6.5,30,NotYet
7.0,7.0,30,NotYet
7.0,7.5,30,NotYet
7.0,8.0,30,NotYet
7.0,8.5,30,NotYet
7.0,9.0,30,NotYet
7.0,9.5,30,NotYet
7.0,10.0,30,NotYet
7.5,5.0,30,NotYet
7.5,5.5,30,NotYet
7.5,6.0,30,NotYet
7.5,6.5,30,NotYet
7.5,7.0,30,NotYet
7.5,7.5,30,NotYet
7.5,8.0,30,NotYet
7.5,8.5,30,NotYet
7.5,9.0,30,NotYet
8.0,5.0,30,NotYet
8.0,5.5,30,NotYet
8.0,6.0,30,NotYet
8.0,6.5,30,NotYet
8.0,7.0,30,NotYet
8.0,7.5,30,NotYet
8.0,8.0,30,NotYet
8.0,8.5,30,NotYet
8.5,5.0,30,NotYet
8.5,5.5,30,NotYet
8.5,6.0,30,NotYet
8.5,6.5,30,NotYet
8.5,7.0,30,NotYet
8.5,7.5,30,NotYet
9.0,5.0,30,NotYet
9.0,5.5,30,NotYet
9.0,6.0,30,NotYet
9.0,6.5,30,NotYet
9.0,7.0,30,NotYet
