a,b,theta,E,E_t,machine_type,status,file_name,E_p1,E_p2
7.5,7.0,30.0,-37.54173956485465,-7.689658142393455,1,Done,BTBT_a=7.5_b=7.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-2.874140127329156,-0.5174133703112602
6.0,9.0,20.0,-26.486092681530863,-5.600269470713101,2,Done,BTBT_a=6.0_b=9.0_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5559801349882036,-1.4865272643510252
6.0,9.0,25.0,-27.442003765609115,-5.716471772640944,2,Done,BTBT_a=6.0_b=9.0_theta=25.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5332454477902502,-1.7548128897324204
3.5,12.5,15.0,-24.193208793643866,-2.4490711285034195,2,Done,BTBT_a=3.5_b=12.5_theta=15_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0377447265200316,-7.16071741329506
6.0,9.5,20.0,-26.907089142128825,-5.806563383550383,1,Done,BTBT_a=6.0_b=9.5_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.353890539612621,-1.4865272643510252
6.0,9.5,25.0,-27.993723107501864,-5.945399970863946,1,Done,BTBT_a=6.0_b=9.5_theta=25.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3512487222906202,-1.7548128897324204
4.0,13.0,25.0,-34.22342903492972,-3.179881824646145,2,Done,BTBT_a=4.0_b=13.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0397151079960167,-10.712235760176554
6.0,9.0,30.0,-28.9547672229819,-5.936075172270648,2,Done,BTBT_a=6.0_b=9.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4920619663316756,-2.113171300617978
7.5,7.0,35.0,-36.57066784100607,-7.60488781647291,1,Done,BTBT_a=7.5_b=7.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-2.4248178671114147,-0.6507404204457998
8.0,6.5,20.0,-35.87453334685415,-7.153143367613666,2,Done,BTBT_a=8.0_b=6.5_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.4271646903362125,-0.2038152478635311
7.5,6.0,30.0,-36.79432495497167,-6.348085688310675,1,Done,BTBT_a=7.5_b=6.0_theta=30.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-5.183577730553225,-0.5174133703112602
4.0,13.0,30.0,-33.250901486258954,-3.0360063317930326,2,Done,BTBT_a=4.0_b=13.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0423067242372781,-10.511131355306134
6.0,9.0,35.0,-30.986895606387407,-6.237097994191572,2,Done,BTBT_a=6.0_b=9.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4382341587916016,-2.581017656018957
6.0,9.5,30.0,-29.335075933951885,-6.110447651008144,1,Done,BTBT_a=6.0_b=9.5_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3334713643416762,-2.113171300617978
8.0,6.5,30.0,-39.32416917011142,-7.588045448181219,2,Done,BTBT_a=8.0_b=6.5_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-4.146240949397907,-0.3397527392953634
7.5,6.0,25.0,-38.48895336035639,-7.466904642642476,1,Done,BTBT_a=7.5_b=6.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.899322039680556,-0.4113453552126884
6.5,9.0,20.0,-28.505620664916933,-6.407705413061194,2,Done,BTBT_a=6.5_b=9.0_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5559801349882036,-0.8814193713478744
6.0,8.5,25.0,-24.53197634126991,-4.8375498910900205,1,Done,BTBT_a=6.0_b=8.5_theta=25.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.8360754987224936,-1.7548128897324204
