a,b,theta,A1,A2,phi1,status
7.8,6.3,28.5,2,-6,39,NotYet
7.8,6.3,28.5,3,-6,36,NotYet
7.8,6.3,28.5,1,-6,41,NotYet
7.9,6.3,28.5,4,-6,34,NotYet
7.9,6.3,28.5,2,-6,37,NotYet
7.9,6.3,28.5,3,-6,34,NotYet
7.9,6.3,28.5,1,-6,43,NotYet
7.9,6.3,28.5,4,-6,32,NotYet
