a,b,theta,A1,A2,phi1,status
7.9,6.1,28,2,-6,38,NotYet
7.9,6.1,29,2,-6,40,NotYet
7.9,6.1,27,2,-6,37,NotYet
7.9,6.1,30,2,-6,41,NotYet
7.9,6.1,31,2,-6,43,NotYet
7.9,6.1,26,2,-6,36,NotYet
