a,b,theta,A1,A2,phi1,phi2,status
7.8,6.3,28.5,2,-6,40,41,NotYet
7.8,6.3,28.5,2,-6,40,40,NotYet
7.8,6.3,28.5,2,-6,41,40,NotYet
7.8,6.3,28.5,2,-6,37,38,NotYet
7.8,6.3,28.5,2,-6,38,38,NotYet
7.8,6.3,28.5,2,-6,38,37,NotYet
